Trial-ID,Status,Iteration,batch_size,lrinit,optimizer,Objective
1,INTERMEDIATE,0,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.912109375
1,INTERMEDIATE,1,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.2715148925781
1,INTERMEDIATE,2,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,397.5770263671875
1,INTERMEDIATE,3,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,396.9237060546875
1,INTERMEDIATE,4,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,396.3434753417969
1,INTERMEDIATE,5,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,395.78375244140625
1,INTERMEDIATE,6,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,395.3337097167969
1,INTERMEDIATE,7,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,395.002685546875
1,INTERMEDIATE,8,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,394.72662353515625
1,INTERMEDIATE,9,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,394.4425964355469
1,COMPLETED,9,64,1.148074469710988e-06,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,394.4425964355469
2,INTERMEDIATE,0,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,1,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,2,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,3,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,4,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,5,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
2,INTERMEDIATE,6,256,0.01750148938511478,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,
