Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,tanh,,,,,,,128,1,,,,,,,0.17796892070812215,1e-07,0.0024490657438669284,0.009656568508768098,0.05042141788153017,2,256,26.483052808015408
2,COMPLETED,74,tanh,,,,,,,256,1,,,,,,,0.05843541743937897,1.0,0.0003477777514240121,0.003638991422550435,0.00027761360397423484,2,512,55.07369193579101
3,COMPLETED,74,<function leaky_relu at 0x2ad626882050>,<function leaky_relu at 0x2ad626882050>,tanh,,,,,256,1,1.0,1.0,,,,,0.04781739631731968,0.1,0.007797281224267867,0.009525768261914171,3.570429029274308e-05,4,256,112.18617712714547
4,COMPLETED,74,tanh,<function lrelu at 0x2ada1f943e60>,<function leaky_relu at 0x2ad626882050>,<function lrelu at 0x2ada1f943e60>,,,,128,0,0.0,1.0,1.0,,,,0.22570324010796083,1e-08,0.000605013835256325,0.0036942674449908708,0.0001524871017293984,5,16,86.5262690824816
5,COMPLETED,50,<function leaky_relu at 0x2ad626882050>,<function lrelu at 0x2ada1f943e60>,tanh,<function lrelu at 0x2ada1f943e60>,<function lrelu at 0x2ada1f943e60>,tanh,,32,1,1.0,1.0,1.0,1.0,1.0,,0.15253995006287824,0.1,0.004689485208609149,0.005539027600713317,0.017284461839877814,7,64,19.941367290978658
6,COMPLETED,74,<function leaky_relu at 0x2ad626882050>,<function lrelu at 0x2ada1f943e60>,elu,tanh,,,,256,1,1.0,0.0,0.0,,,,0.09189813131331781,1e-08,0.007945775579285403,0.0059256250865984805,0.0008250690906091205,5,512,40.500209192146606
7,COMPLETED,74,<function leaky_relu at 0x2ad626882050>,tanh,,,,,,128,0,1.0,,,,,,0.02625030872677636,1e-08,0.006107403948839908,0.0017715217841402365,0.0055592911007110645,3,128,24.739319340808326
8,COMPLETED,74,<function lrelu at 0x2ada1f943e60>,<function leaky_relu at 0x2ad626882050>,tanh,,,,,256,0,1.0,0.0,,,,,0.28708724678567044,1.0,0.004879463313254805,0.002882027719354894,0.0011655943295729265,4,64,29.489876648649116
9,COMPLETED,74,<function leaky_relu at 0x2ad626882050>,<function lrelu at 0x2ada1f943e60>,tanh,tanh,relu,,,32,1,1.0,0.0,0.0,1.0,,,0.18453226097817121,1e-07,0.0036366505536093953,0.00720773900940147,0.0009707130760362812,6,256,43.35927573411822
10,COMPLETED,39,<function leaky_relu at 0x2ad626882050>,elu,,,,,,64,1,1.0,,,,,,0.18330434106649918,1e-07,0.0014513658490586813,0.007339603835664454,0.027517180417165957,3,256,20.6392901901461
11,COMPLETED,74,<function lrelu at 0x2ada1f943e60>,,,,,,,256,1,,,,,,,0.1780518601357471,0.1,0.001156390634297687,0.003535293218024688,0.0003926313819912348,2,256,35.56124555543373
