Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,<function lrelu at 0x2b0627773d40>,elu,<function leaky_relu at 0x2b0624d7e320>,<function lrelu at 0x2b0627773d40>,,,,128,0,1.0,0.0,0.0,,,,0.2177407377041891,1e-08,0.008150714847142524,0.00254500582174636,3.7523983167163174e-05,5,32,174.7989329501638
2,COMPLETED,74,elu,,,,,,,32,1,,,,,,,0.4874012532727315,1e-07,0.008954321851627102,0.0074439524613375985,2.1333471381634962e-05,2,128,104.05365340604995
3,COMPLETED,25,elu,relu,tanh,<function leaky_relu at 0x2b0624d7e320>,tanh,,,64,1,0.0,1.0,1.0,0.0,,,0.13135630056177738,0.1,0.003497542376198329,0.005176222752823604,0.007194092703710648,6,32,26.50503168496096
4,COMPLETED,74,elu,relu,<function lrelu at 0x2b0627773d40>,,,,,256,0,1.0,0.0,,,,,0.42169601136341384,1e-08,0.00863847724307306,0.005881562142821321,0.0013394239310907756,4,64,50.54893670807743
5,COMPLETED,20,relu,,,,,,,64,1,,,,,,,0.3759298872321185,1.0,0.0009352926396479089,0.0023174344147556558,0.01840084438642491,2,256,32.10296396997414
6,COMPLETED,20,relu,,,,,,,128,1,,,,,,,0.19346775232129032,0.1,0.009807914447387255,0.00927938403978203,0.001799585480477711,2,256,24.440511629577674
7,COMPLETED,74,elu,relu,<function leaky_relu at 0x2b0624d7e320>,<function lrelu at 0x2b0627773d40>,relu,,,128,0,0.0,0.0,1.0,1.0,,,0.21152172837558741,1e-08,0.005928002467441474,0.008044059378348716,4.057317612441539e-05,6,256,186.88648239643595
8,COMPLETED,10,relu,,,,,,,128,0,,,,,,,0.45276189934783734,0.1,0.0014848172448203912,0.00541145999586246,0.02407823114983502,2,32,34.01087339748526
9,COMPLETED,9,<function leaky_relu at 0x2b0624d7e320>,,,,,,,512,0,,,,,,,0.07987526869304473,1.0,0.004549086671257177,0.007482253837443246,0.09040732368257937,2,512,56.22114334526099
10,COMPLETED,55,<function leaky_relu at 0x2b0624d7e320>,,,,,,,256,1,,,,,,,0.18378234504474178,1e-07,0.008639788122472493,0.005946200767888766,0.08507675830099366,2,512,25.575031439250903
11,COMPLETED,74,elu,elu,,,,,,256,1,0.0,,,,,,0.04583339931884245,1e-07,0.008810089172507932,0.008994180227542493,0.009566602131360189,3,512,32.401476655050416
12,COMPLETED,18,tanh,elu,,,,,,32,0,1.0,,,,,,0.4177062832693238,0.1,0.005641886590369175,0.0065199328959566075,0.009541722643045793,3,256,32.339906753244975
13,COMPLETED,74,<function lrelu at 0x2b0627773d40>,tanh,<function leaky_relu at 0x2b0624d7e320>,,,,,128,0,1.0,1.0,,,,,0.4426841267742802,0.1,0.006558019544293053,0.0005736351086228986,1.755489082316999e-05,4,512,27.768503787270898
14,COMPLETED,74,<function leaky_relu at 0x2b0624d7e320>,<function leaky_relu at 0x2b0624d7e320>,,,,,,256,0,1.0,,,,,,0.17608490522605663,1e-07,0.0009833228386245862,0.009772696726571243,0.00013106606569238406,3,128,58.94661781687775
15,COMPLETED,19,relu,relu,<function leaky_relu at 0x2b0624d7e320>,relu,,,,128,0,0.0,0.0,1.0,,,,0.4012992357359764,1.0,0.008903100120283364,0.004426236880400902,0.0002487551996255986,5,16,27.04958352681333
16,COMPLETED,8,<function leaky_relu at 0x2b0624d7e320>,tanh,,,,,,256,1,0.0,,,,,,0.47957905475591195,0.1,0.009376984707563771,0.0007400724378205004,0.03742057135670007,3,256,37.781141770782895
17,COMPLETED,74,<function lrelu at 0x2b0627773d40>,tanh,tanh,,,,,512,0,0.0,0.0,,,,,0.43586529239846566,1e-07,0.004924159383822803,0.005787267449511098,7.171029252001253e-05,4,128,131.63687023635958
18,COMPLETED,47,<function lrelu at 0x2b0627773d40>,relu,,,,,,512,1,0.0,,,,,,0.14162130362319536,0.1,0.0012276156660084015,0.0037422176332580007,0.00023177505365864294,3,256,20.019794646079703
19,COMPLETED,74,tanh,relu,tanh,,,,,64,1,0.0,1.0,,,,,0.3512122161873937,0.1,0.008652448245367124,0.0016500927892126184,2.5905420372649603e-05,4,256,23.997818742909327
20,COMPLETED,74,<function leaky_relu at 0x2b0624d7e320>,elu,<function lrelu at 0x2b0627773d40>,relu,tanh,,,64,1,1.0,1.0,0.0,1.0,,,0.00018492712387019328,1e-07,0.004811101101024367,0.009120866277162755,3.8172340651312314e-05,6,512,238.82458088389757
21,COMPLETED,28,elu,elu,tanh,elu,<function lrelu at 0x2b0627773d40>,elu,,32,1,0.0,1.0,1.0,0.0,0.0,,0.15414672401660567,0.1,0.006795676794240299,0.003528223501235074,0.0001522718317231987,7,32,23.469910642166372
