Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,ams_grad,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,tanh,elu,,,,,,1,512,1,1.0,,,,,,0.3546824322997404,1e-07,0.00498966411933923,0.005844951616846429,1.51468496721786e-05,3,64,33.59244689661637
2,COMPLETED,74,tanh,,,,,,,1,512,1,,,,,,,0.16217521386264377,1.0,0.007905691759899853,0.009881577521713541,7.444950620233831e-05,2,128,37.25107296839611
3,COMPLETED,74,<function leaky_relu at 0x2b5fbfae27a0>,relu,,,,,,1,32,0,0.0,,,,,,0.2235412717157999,0.1,0.007991767670115831,0.0009100872348385891,0.00010916931756619832,3,256,23.54740573562745
4,COMPLETED,46,<function lrelu at 0x2b63cde91560>,<function lrelu at 0x2b63cde91560>,,,,,,1,128,0,0.0,,,,,,0.4482874058061873,1e-08,0.009912019032533505,0.007818097140731364,0.0008946834540538108,3,16,30.036355158174203
5,COMPLETED,14,elu,relu,<function leaky_relu at 0x2b5fbfae27a0>,,,,,0,32,0,0.0,0.0,,,,,0.4680664816221642,1.0,0.0038801533859835614,0.006556049691877695,0.06590767200999048,4,16,52.55245963852676
6,COMPLETED,22,elu,,,,,,,1,128,0,,,,,,,0.22751580412376887,1e-07,0.0031589446623745887,0.007853211203308551,0.06677601098661552,2,64,35.334808203086304
7,COMPLETED,39,elu,elu,,,,,,1,512,0,0.0,,,,,,0.12816106001527394,0.1,0.007328967982805865,0.005636182951535878,0.008235497298697428,3,256,25.228911899898698
8,COMPLETED,16,<function leaky_relu at 0x2b5fbfae27a0>,,,,,,,1,32,0,,,,,,,0.13166495906225312,1e-07,0.0069741234407325,0.006809977317701091,0.0681054209977679,2,16,38.55712510761574
9,COMPLETED,16,<function lrelu at 0x2b63cde91560>,relu,elu,,,,,0,256,0,0.0,0.0,,,,,0.43685794592617094,1e-07,0.006064469026928527,0.0019022471251797324,0.030832701928679863,4,64,28.310128921740667
10,COMPLETED,31,relu,,,,,,,1,32,1,,,,,,,0.37343684902668445,0.1,0.0006206807911718359,0.004066914021537784,0.00020938792566577041,2,64,20.22502371620193
11,COMPLETED,40,elu,elu,<function lrelu at 0x2b63cde91560>,,,,,0,128,1,0.0,0.0,,,,,0.07791852714957798,1.0,0.009785223546442349,0.0029271065438347776,0.0030816148609849603,4,64,21.118093876053464
12,COMPLETED,74,elu,,,,,,,0,512,1,,,,,,,0.17609165978694374,1.0,0.0018948369434218949,0.0075443624701467486,0.004066529068694889,2,32,25.738922570505174
13,COMPLETED,74,relu,<function leaky_relu at 0x2b5fbfae27a0>,relu,,,,,0,512,0,1.0,1.0,,,,,0.28809371392956257,0.1,0.003912201359043325,0.0016565994901263559,1.546082741006491e-05,4,16,28.9929616999169
