Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,9,<function lrelu at 0x2b5801e91560>,<function leaky_relu at 0x2b53fbc367a0>,<function lrelu at 0x2b5801e91560>,,,,,64,0,0.0,0.0,,,,,0.14455747029860055,1e-08,0.0007442280289200564,0.0012403081394939753,0.05896983094883026,4,128,52.0148494390545
2,COMPLETED,35,tanh,tanh,elu,,,,,256,0,0.0,0.0,,,,,0.3837334475013009,1.0,0.0006989567059629653,0.005914461676429589,0.0021593460102315087,4,256,24.305355731968024
3,COMPLETED,57,relu,,,,,,,64,1,,,,,,,0.45296428022782514,0.1,0.009473234910851887,9.37274037581981e-05,8.149521752752032e-05,2,512,20.18767856818811
4,COMPLETED,74,<function leaky_relu at 0x2b53fbc367a0>,,,,,,,256,0,,,,,,,0.34590970716755404,1e-08,0.009176762618594979,0.0032479244591171177,8.24180793905366e-05,2,32,37.87188218434849
5,COMPLETED,29,elu,,,,,,,256,0,,,,,,,0.19781859432744697,0.1,0.007325053226415317,0.004785887672623113,0.004557512296210022,2,128,32.32222202004304
6,COMPLETED,40,elu,relu,relu,,,,,256,1,0.0,1.0,,,,,0.31813266240681337,0.1,0.003929714375134829,0.0017301192216730955,0.0018325984370902346,4,256,19.392203430009342
7,COMPLETED,74,tanh,<function leaky_relu at 0x2b53fbc367a0>,elu,,,,,32,1,0.0,0.0,,,,,0.27045678849671695,1e-08,0.009786626953634204,0.006195252888816551,4.053566109839858e-05,4,64,26.01074610625117
8,COMPLETED,18,relu,<function lrelu at 0x2b5801e91560>,relu,,,,,32,0,0.0,1.0,,,,,0.10228958151236683,1e-08,0.004351185837151475,0.0033455479489576203,0.009313406625582627,4,128,26.675186558120078
9,COMPLETED,25,<function lrelu at 0x2b5801e91560>,tanh,,,,,,256,1,0.0,,,,,,0.022713731975273488,1e-08,0.006383670400738145,0.0007153329871148884,0.007717646855157529,3,512,30.64909609037077
10,COMPLETED,14,<function lrelu at 0x2b5801e91560>,<function lrelu at 0x2b5801e91560>,relu,,,,,128,0,1.0,0.0,,,,,0.4839517807436248,1e-08,0.009685093714090374,0.005683049077446967,0.0007608244619095582,4,64,22.301548716494338
11,COMPLETED,29,<function lrelu at 0x2b5801e91560>,,,,,,,512,0,,,,,,,0.012492447868917289,0.1,0.009179629430263448,0.009058854467547561,0.013780573955078165,2,16,36.20047184349555
12,COMPLETED,28,<function lrelu at 0x2b5801e91560>,relu,<function lrelu at 0x2b5801e91560>,,,,,128,0,1.0,1.0,,,,,0.25789113026103405,1.0,0.00237519061316682,0.009238660638625553,0.006331148819870588,4,16,24.06497567723702
