Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,relu,elu,<function leaky_relu at 0x2accec7a4ef0>,,0,0.0,1.0,,0.052917606,0.1,0.0016306,0.0013333,0.0004386,4,64,46.261756896972656
2,COMPLETED,2,<function lrelu at 0x2accf5581710>,relu,,,1,1.0,,,0.15036461016835534,1e-07,0.007398555071083774,0.006051251308485256,0.0006928818789493514,3,16,115.82882690429688
3,COMPLETED,2,<function leaky_relu at 0x2accec7a4ef0>,,,,0,,,,0.4776883787858864,1.0,0.0074053741726434336,0.005156823557860579,0.0003828941045699374,2,64,89.036865234375
4,COMPLETED,2,elu,<function lrelu at 0x2accf5581710>,,,0,1.0,,,0.26241122836360836,0.1,0.00669180479808679,0.008080917764869019,0.01023173904513574,3,256,54.89206314086914
5,COMPLETED,2,tanh,<function leaky_relu at 0x2accec7a4ef0>,tanh,,0,1.0,0.0,,0.22100668925971828,0.1,0.004749154199466306,0.008731960388629712,0.0004330258155145227,4,64,37.45220947265625
6,COMPLETED,2,relu,relu,elu,,1,1.0,0.0,,0.15820924490212918,1e-07,0.008521885018540313,0.0022833392502734483,0.007887643012956953,4,512,41.09380340576172
7,COMPLETED,2,relu,<function lrelu at 0x2accf5581710>,tanh,,0,1.0,1.0,,0.1745712864607089,1.0,0.004679372442016996,0.008886155983812094,0.02704671480071617,4,64,178.55844116210938
8,COMPLETED,2,tanh,relu,<function lrelu at 0x2accf5581710>,,1,1.0,1.0,,0.4702250903048176,1.0,0.007009613209919568,0.004773948054973047,0.009675483472921192,4,512,78.83419036865234
9,COMPLETED,2,<function lrelu at 0x2accf5581710>,<function leaky_relu at 0x2accec7a4ef0>,,,1,0.0,,,0.0018897270636180075,0.1,0.006350630773796523,0.0015965220396544678,0.0024562134470845027,3,512,47.3263053894043
10,COMPLETED,2,<function leaky_relu at 0x2accec7a4ef0>,,,,0,,,,0.10119814160716095,1e-08,0.004823030844948762,0.0050095743605144015,0.0013918894835958451,2,256,394.221923828125
11,COMPLETED,2,relu,,,,0,,,,0.02948269510945034,1.0,0.00833195520243669,0.004100264074765752,0.005847599065387304,2,512,153.10989379882812
12,COMPLETED,2,<function lrelu at 0x2accf5581710>,<function leaky_relu at 0x2accec7a4ef0>,,,0,0.0,,,0.13770366245431154,0.1,0.008528101903750194,0.007547441453921301,0.004901756523233152,3,128,181.72393798828125
13,COMPLETED,2,elu,tanh,,,1,1.0,,,0.4109968035772417,1.0,0.004661828719295386,0.003452259043994763,0.023505057753216534,3,32,74.34034729003906
14,COMPLETED,2,tanh,elu,,,1,1.0,,,0.23615490491861713,0.1,0.0014980994639602308,0.003280882502268412,0.04378922381838129,3,16,71.75621795654297
