Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,<function lrelu at 0x2abbb526a830>,<function lrelu at 0x2abbb526a830>,,,relu,relu,relu,0.1841244119677411,0.1,0.00016220861742929693,0.007436944699610299,0.008725626554323051,3,256,42.31837463378906
2,COMPLETED,2,relu,tanh,tanh,,,,,0.013650542358676021,1.0,0.009162844735384484,0.009471025069828975,0.11976575188034724,4,32,72.73236846923828
3,COMPLETED,2,relu,,,,,,,0.14577980123926942,1e-07,0.0008287008348369939,0.0006933244027115238,0.05384913582670401,2,128,101.59465789794922
4,COMPLETED,2,tanh,<function leaky_relu at 0x2abbac48fef0>,,,,,,0.41087864053126083,1.0,0.0075907282906698525,0.004946132885886977,0.07575040517982332,3,64,66.61833953857422
5,COMPLETED,2,elu,tanh,tanh,,,,,0.10308819452527646,0.1,0.0031109097658076424,0.0007069352820350316,0.10613241557517131,4,64,137.70094299316406
6,COMPLETED,2,<function leaky_relu at 0x2abbac48fef0>,<function lrelu at 0x2abbb526a830>,<function leaky_relu at 0x2abbac48fef0>,,,,,0.20141088985038597,0.1,0.008017301895190919,0.004029791275555959,0.0019345797483783962,4,16,54.262237548828125
7,COMPLETED,2,elu,,,,,,,0.29672815587353046,0.1,3.5887242329309956e-05,0.009304691217658999,0.008108769852324234,2,16,152.7305450439453
8,COMPLETED,2,<function leaky_relu at 0x2abbac48fef0>,relu,,,,,,0.10811221767993606,1e-08,0.00993978460471306,0.007203977883589349,0.06433469123583636,3,256,630.7711791992188
9,COMPLETED,2,tanh,tanh,,,,,,0.3226573138199016,1e-08,0.0037253499457755536,0.0068662306828527345,0.019738557757694907,3,256,67.72594451904297
10,COMPLETED,2,tanh,,,,,,,0.15205114799342295,1e-08,0.0001553412967338186,0.009253755930302062,0.12845319670594738,2,32,95.58306884765625
