Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,tanh,elu,,,0,1.0,,,0.2215069744362741,1.0,0.009725260433485816,0.007311613837778971,0.0002504405858309855,3,256,75.04158020019531
2,COMPLETED,2,elu,relu,tanh,,1,1.0,0.0,,0.11781355228092083,1e-08,0.0014400069189907361,0.008645068715083196,0.0008167248245366762,4,16,624.6310424804688
3,COMPLETED,2,<function lrelu at 0x2acce5970710>,,,,1,,,,0.22102656299557444,1.0,0.006158831546873839,0.0038707999495348035,0.01791509960986161,2,512,129.57147216796875
4,COMPLETED,2,tanh,,,,0,,,,0.39393087965765644,1.0,0.005000753256495305,0.002595956782676052,0.0011625229320314785,2,64,60.02865982055664
5,COMPLETED,2,tanh,,,,0,,,,0.12574406530112658,0.1,0.0008146313766624447,0.009415042846949275,0.00011652803812349075,2,32,70.44746398925781
6,COMPLETED,2,elu,<function leaky_relu at 0x2accdcb95ef0>,,,1,1.0,,,0.08087582521015119,1e-07,0.005354225336647627,0.003307047510570658,0.01757929183388959,3,128,98.06294250488281
7,COMPLETED,2,relu,<function leaky_relu at 0x2accdcb95ef0>,elu,,0,1.0,0.0,,0.40751630946070255,1e-08,0.006302933388176639,0.00031952614798882897,0.0003728139537015993,4,32,54.53334426879883
8,COMPLETED,2,<function lrelu at 0x2acce5970710>,relu,<function lrelu at 0x2acce5970710>,,1,0.0,1.0,,0.2397261243935876,1e-08,0.0017493705156300067,0.004741443901550119,0.0009627967999764604,4,256,47.47682571411133
9,COMPLETED,2,tanh,,,,1,,,,0.38176669774480243,0.1,0.0008939594303819032,0.005373790784166256,0.002374279978143341,2,128,115.04849243164062
10,COMPLETED,2,relu,elu,,,1,1.0,,,0.042676386049956716,1e-08,0.0004609153417047984,0.0018220965452195737,0.31402455499716286,3,256,111.58489227294922
11,COMPLETED,2,relu,,,,0,,,,0.3551059223722702,1e-08,0.0019076571914175943,0.0002750420133464637,0.336792265904127,2,128,146.4163818359375
12,COMPLETED,2,relu,,,,0,,,,0.3539647379216657,0.1,0.006622620373652612,0.001793923808848701,0.49012159451592013,2,32,630.8486938476562
13,COMPLETED,2,elu,<function leaky_relu at 0x2accdcb95ef0>,relu,,0,0.0,1.0,,0.1322822140971201,0.1,0.006584616682548642,0.003126773064337993,0.17643087965020005,4,128,106.98259735107422
