Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_last,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,tanh,<function leaky_relu at 0x2b806e677f80>,tanh,,linear,0,0,1,0,0.0,0.1,0.004749,0.008732,0.000433,4,64,adadelta,41.367557525634766
2,COMPLETED,2,relu,elu,,,linear,0,1,0,1,0.29681786098844604,1e-07,0.005252033078400698,0.0058706574519929704,0.018958045071234376,3,512,adadelta,74.02393341064453
3,COMPLETED,2,elu,relu,relu,,linear,1,0,1,1,0.29082895187536156,1e-07,0.0045243015465795434,0.005706781431403101,0.15364813137545236,4,16,adadelta,50.45337677001953
4,COMPLETED,2,relu,,,,linear,0,0,1,0,0.03662590827127321,0.1,0.009386358214876293,0.002955230661478331,0.03690198826130896,2,512,adadelta,72.08748626708984
5,COMPLETED,2,relu,<function lrelu at 0x2b8075be6290>,,,linear,0,0,0,1,0.13957067123407263,0.1,0.0006208971588527423,0.009457277073502844,0.006386639564201171,3,32,adadelta,37.857933044433594
6,COMPLETED,2,<function leaky_relu at 0x2b806e677f80>,<function leaky_relu at 0x2b806e677f80>,,,linear,0,1,1,1,0.13973554123176468,1e-08,3.465299115426812e-05,0.003518174217682868,0.01029813995398509,3,64,adadelta,162.8994140625
7,COMPLETED,2,<function lrelu at 0x2b8075be6290>,,,,<function my_act_fct at 0x2b807364f9e0>,0,0,0,1,0.0875096556359301,0.1,0.007702488816082116,0.0017350019665661532,0.0008112953023447311,2,16,adadelta,52.1393928527832
8,COMPLETED,2,elu,elu,tanh,,linear,1,1,0,0,0.21306829890569412,1e-07,0.004677870965856442,0.009781690451883058,0.0001403592902879847,4,16,adadelta,644.1657104492188
9,COMPLETED,2,tanh,elu,<function leaky_relu at 0x2b806e677f80>,,<function my_act_fct at 0x2b807364f9e0>,1,1,0,1,0.11404060013794198,0.1,0.006865584888488696,0.002415767398588036,0.004020305614079156,4,64,adadelta,40.528785705566406
10,COMPLETED,2,<function lrelu at 0x2b8075be6290>,,,,linear,1,0,0,1,0.390564644218838,0.1,0.009480745047057024,0.005288602916962589,0.1617038487672872,2,64,adadelta,120.55680847167969
11,COMPLETED,2,relu,,,,linear,0,1,0,0,0.42471220941681626,1.0,0.008549965929052186,0.001337295538456026,0.0024114757677057815,2,64,adadelta,53.012229919433594
12,COMPLETED,2,elu,relu,,,<function my_act_fct at 0x2b807364f9e0>,0,0,0,0,0.19890599857057112,1.0,0.0012767600449706685,0.006121369100598188,0.5993285313596315,3,64,adadelta,430.8905944824219
13,COMPLETED,2,<function leaky_relu at 0x2b806e677f80>,<function lrelu at 0x2b8075be6290>,<function lrelu at 0x2b8075be6290>,,linear,1,1,0,0,0.4475709635445395,1.0,0.00020806867045137123,0.009312429181304352,0.8037000978813054,4,64,adadelta,125809.8046875
14,COMPLETED,2,<function lrelu at 0x2b8075be6290>,<function lrelu at 0x2b8075be6290>,,,<function my_act_fct at 0x2b807364f9e0>,1,1,1,1,0.15298913382677554,1e-07,0.0004095643816857664,0.008144416029967015,0.0015928812506817097,3,512,adadelta,68.32005310058594
15,COMPLETED,2,relu,relu,,,linear,0,1,1,1,0.4333340062039666,1e-07,0.008350114780963142,0.009139119558455392,0.08592009268079695,3,32,adadelta,46.36231231689453
16,COMPLETED,2,elu,,,,linear,0,1,0,0,0.34530706062088745,1e-07,0.009104201983982459,0.005386833025600417,0.22679539925924602,2,16,adadelta,67.32050323486328
17,COMPLETED,2,tanh,elu,,,<function my_act_fct at 0x2b807364f9e0>,1,1,1,1,0.11234393376267227,1.0,0.00460128279216699,0.008972411855063136,0.000452832889527321,3,32,adadelta,36.399478912353516
18,COMPLETED,2,elu,,,,<function my_act_fct at 0x2b807364f9e0>,1,0,1,1,0.17214806177849368,1e-08,0.0009174140932185371,0.0032915300884881083,0.013667759197509026,2,16,adadelta,201.44300842285156
